epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6669,1.12021,3.06938,1.20225,0.00628,0.66758,0.32115,0.25666,0.74046,3.18437,0.9785,0.0928,0.0008,0.0008
2,114.009,1.10961,2.8195,1.2102,0.00685,0.73953,0.40217,0.30794,0.78343,3.06366,0.9998,0.0846663,0.00166634,0.00166634
3,170.165,0.98851,2.48137,1.21194,0.00768,0.83607,0.4552,0.33946,0.86761,2.94281,1.03205,0.076497,0.00249704,0.00249704
4,228.934,1.06358,1.94768,1.17447,0.97329,0.14532,0.50371,0.36315,0.92857,2.77275,1.0436,0.0682921,0.0032921,0.0032921
5,290.908,1.07812,1.63905,1.15481,0.96265,0.18033,0.55666,0.39117,0.99025,2.69788,1.08552,0.0600515,0.00405152,0.00405152
6,353.711,1.08443,1.57105,1.18021,0.94288,0.36157,0.55744,0.42015,1.04442,2.66082,1.12709,0.0517753,0.0047753,0.0047753
7,416.198,1.03742,1.42168,1.14567,0.89158,0.32599,0.595,0.4116,1.01149,2.59867,1.09926,0.0434634,0.00546344,0.00546344
8,477.761,1.09517,1.63973,1.20641,0.88141,0.43467,0.70717,0.47149,1.04182,2.42977,1.11456,0.0351159,0.00611594,0.00611594
9,540.322,1.10166,1.3596,1.19768,0.87683,0.47168,0.69699,0.4706,1.13703,2.34226,1.17211,0.0267328,0.0067328,0.0067328
10,603.186,1.05343,1.52304,1.20349,0.87517,0.43888,0.67052,0.43007,1.1188,2.27527,1.16542,0.018314,0.00731402,0.00731402
11,665.976,1.01365,1.35115,1.15253,0.82357,0.51122,0.65038,0.39768,1.21373,2.11264,1.24144,0.0098596,0.0078596,0.0078596
12,728.416,1.06317,1.30857,1.18184,0.79671,0.45956,0.58927,0.32686,1.35071,2.16582,1.34334,0.007822,0.007822,0.007822
13,791.187,1.02212,1.38685,1.23401,0.563,0.41257,0.49647,0.2675,1.40991,2.3048,1.41583,0.007624,0.007624,0.007624
14,852.736,1.01671,1.30223,1.14591,0.64674,0.41583,0.54347,0.3063,1.39301,2.35464,1.3558,0.007426,0.007426,0.007426
15,914.62,1.05954,1.57549,1.26487,0.62433,0.3501,0.42759,0.24799,1.50032,2.51113,1.41103,0.007228,0.007228,0.007228
16,976.138,0.99504,2.80141,1.18237,0.87125,0.4745,0.5855,0.39301,1.31356,2.1886,1.33338,0.00703,0.00703,0.00703
17,1037.53,1.03161,1.27052,1.1646,0.87157,0.52409,0.59738,0.40174,1.3465,2.16684,1.3717,0.006832,0.006832,0.006832
18,1098.97,1.00546,1.2816,1.14479,0.7638,0.4827,0.58598,0.4023,1.34282,1.91234,1.35914,0.006634,0.006634,0.006634
19,1160.28,1.01276,1.21862,1.14959,0.76609,0.52234,0.60619,0.39508,1.30491,1.84042,1.34793,0.006436,0.006436,0.006436
20,1222.08,0.97867,1.31405,1.1846,0.66578,0.55647,0.58857,0.38848,1.29017,1.78326,1.34018,0.006238,0.006238,0.006238
21,1284.14,0.97332,1.28103,1.14052,0.61026,0.62022,0.61381,0.40448,1.2833,1.79967,1.29945,0.00604,0.00604,0.00604
22,1345.88,0.92359,1.11492,1.11207,0.59638,0.62842,0.6054,0.35508,1.32574,1.72301,1.3142,0.005842,0.005842,0.005842
23,1407.01,0.95572,1.11233,1.09103,0.73625,0.58743,0.6668,0.38332,1.29821,1.68913,1.37736,0.005644,0.005644,0.005644
24,1491.6,0.9768,1.10001,1.10433,0.93598,0.48875,0.65883,0.37776,1.37353,1.70655,1.37838,0.005446,0.005446,0.005446
25,1553.42,0.89624,1.15143,1.10324,0.90024,0.54521,0.66651,0.37085,1.30396,1.77055,1.34202,0.005248,0.005248,0.005248
26,1615.68,0.95057,1.33339,1.17212,0.72248,0.58265,0.66354,0.37047,1.28784,1.78532,1.35161,0.00505,0.00505,0.00505
27,1676.95,0.89774,1.07555,1.10414,0.90933,0.55601,0.63551,0.34637,1.35939,1.66224,1.40076,0.004852,0.004852,0.004852
28,1738.33,0.8194,1.04114,1.07717,0.83786,0.56939,0.69012,0.3825,1.27506,1.66912,1.36079,0.004654,0.004654,0.004654
29,1802.37,0.9328,1.08686,1.14959,0.58915,0.70674,0.67236,0.41473,1.3037,1.6471,1.36972,0.004456,0.004456,0.004456
30,1864.04,0.95014,1.146,1.14227,0.80994,0.71494,0.75815,0.46219,1.28553,1.62683,1.34205,0.004258,0.004258,0.004258
31,1925.19,0.90798,1.05225,1.08216,0.90486,0.60701,0.74497,0.46985,1.2817,1.65744,1.3337,0.00406,0.00406,0.00406
32,1986.91,0.85981,1.07098,1.16481,0.65123,0.69921,0.68755,0.44533,1.22713,1.60283,1.27309,0.003862,0.003862,0.003862
33,2048.65,0.86386,1.00574,1.05757,0.77946,0.63627,0.72055,0.46008,1.21253,1.55863,1.25499,0.003664,0.003664,0.003664
34,2109.38,0.86394,0.98437,1.10729,0.7321,0.75633,0.7287,0.47005,1.23882,1.50875,1.26916,0.003466,0.003466,0.003466
35,2170.99,0.81597,0.95348,1.0649,0.6063,0.69879,0.65475,0.43907,1.18118,1.48153,1.22877,0.003268,0.003268,0.003268
36,2231.95,0.7753,0.92093,1.0339,0.66386,0.59563,0.64365,0.4167,1.21616,1.57617,1.25912,0.00307,0.00307,0.00307
37,2292.8,0.77797,0.96237,1.05285,0.77967,0.58841,0.67476,0.4228,1.23013,1.56845,1.27139,0.002872,0.002872,0.002872
38,2353.69,0.80244,0.98411,1.04894,0.78585,0.58788,0.71053,0.4597,1.26427,1.57018,1.28159,0.002674,0.002674,0.002674
39,2416.3,0.80884,0.90328,1.03079,0.69995,0.64482,0.73466,0.44464,1.24979,1.55676,1.28792,0.002476,0.002476,0.002476
40,2478.7,0.80496,0.9055,1.06175,0.6632,0.67577,0.70805,0.42923,1.17888,1.50004,1.25591,0.002278,0.002278,0.002278
41,2540.26,0.71036,1.35911,0.9927,0.7764,0.65118,0.73739,0.45454,1.18786,1.52346,1.28922,0.00208,0.00208,0.00208
42,2600.05,0.74658,1.10889,1.06464,0.82988,0.65118,0.70952,0.42669,1.22197,1.63617,1.32457,0.001882,0.001882,0.001882
43,2659.83,0.69221,0.95897,0.96429,0.87901,0.63909,0.70959,0.4304,1.25832,1.56114,1.32691,0.001684,0.001684,0.001684
44,2721.43,0.64744,1.01488,0.97184,0.65857,0.64861,0.69914,0.39562,1.29365,1.54566,1.3592,0.001486,0.001486,0.001486
45,2781.76,0.6744,0.97732,0.95512,0.66006,0.67888,0.7037,0.41365,1.27654,1.49774,1.35101,0.001288,0.001288,0.001288
46,2841.53,0.60079,0.90939,0.93708,0.87395,0.58428,0.72474,0.45179,1.27571,1.50257,1.34424,0.00109,0.00109,0.00109
47,2901.75,0.70911,0.93894,0.9901,0.87435,0.64237,0.76447,0.48553,1.26319,1.49615,1.33436,0.000892,0.000892,0.000892
48,2963.11,0.62538,0.86447,0.92338,0.8636,0.6526,0.77926,0.51388,1.25538,1.46156,1.32899,0.000694,0.000694,0.000694
49,3024.66,0.71122,0.93302,0.97413,0.79828,0.74772,0.78515,0.51937,1.27716,1.45228,1.34039,0.000496,0.000496,0.000496
50,3085.1,0.69514,0.94905,0.99005,0.80716,0.73618,0.78757,0.50856,1.25959,1.42545,1.33006,0.000298,0.000298,0.000298
