epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.639,3.73824,4.02506,4.28263,0.00267,0.25865,0.00434,0.00152,3.70261,4.16687,4.13925,0.0928,0.0008,0.0008
2,117.925,3.81517,3.94948,4.24816,0.00267,0.25865,0.00492,0.00161,3.6918,4.11197,4.11734,0.0846663,0.00166634,0.00166634
3,173.534,3.5272,3.96261,4.23751,0.00267,0.25865,0.00535,0.00194,3.68202,4.09096,4.10174,0.076497,0.00249704,0.00249704
4,232.388,3.70606,3.78148,4.19699,0.00278,0.26685,0.00511,0.00175,3.67401,4.08258,4.08931,0.0682921,0.0032921,0.0032921
5,295.658,3.61368,3.72365,4.17791,0.0024,0.20947,0.00506,0.00193,3.66411,4.075,4.07585,0.0600515,0.00405152,0.00405152
6,359.706,3.62229,3.74065,4.14712,0.00253,0.21767,0.00432,0.00137,3.65701,4.07114,4.0647,0.0517753,0.0047753,0.0047753
7,424.176,3.56588,3.60662,4.10544,0.00253,0.21767,0.00418,0.00135,3.65169,4.06697,4.0575,0.0434634,0.00546344,0.00546344
8,486.623,3.73028,3.77781,4.07153,0.00252,0.21767,0.00731,0.00195,3.64755,4.06128,4.05068,0.0351159,0.00611594,0.00611594
9,550.522,3.65492,3.51066,4.02518,0.00252,0.21767,0.01125,0.00279,3.64467,4.05348,4.04514,0.0267328,0.0067328,0.0067328
10,612.967,3.51106,3.64601,4.01484,0.00267,0.25865,0.01114,0.00292,3.64457,4.04563,4.04452,0.018314,0.00731402,0.00731402
11,673.807,3.42891,3.44479,3.9517,0.00267,0.25865,0.01697,0.00436,3.64953,4.04337,4.05228,0.0098596,0.0078596,0.0078596
12,734.581,3.35938,3.46421,3.91941,0.00246,0.24226,0.00335,0.00125,3.66485,4.05101,4.06914,0.007822,0.007822,0.007822
13,794.306,3.37156,3.55878,3.87205,0.00307,0.31421,0.00343,0.00083,3.55385,4.02896,4.01822,0.007624,0.007624,0.007624
14,855.083,3.31577,3.42778,3.77857,0.00435,0.39617,0.00568,0.00149,3.52372,4.03381,4.06622,0.007426,0.007426,0.007426
15,917.774,3.35987,3.64452,3.79187,0.00389,0.28324,0.00435,0.00132,3.40321,4.20423,4.05209,0.007228,0.007228,0.007228
16,979.758,3.39746,4.07717,3.7678,0.50882,0.0082,0.00475,0.00077,3.3233,8.11698,4.32736,0.00703,0.00703,0.00703
17,1043.22,3.27979,3.36137,3.6356,0.00187,0.13934,0.00274,0.00077,3.21535,41.8385,4.79256,0.006832,0.006832,0.006832
18,1104.29,3.31496,3.3631,3.61276,0.0086,0.08015,0.00318,0.00089,3.46342,31.0191,5.5217,0.006634,0.006634,0.006634
19,1170.33,3.24071,3.33872,3.55641,0.52608,0.02459,0.00606,0.0016,3.31985,7.29716,5.29708,0.006436,0.006436,0.006436
