epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.625,1.13469,1.43217,1.23582,0.64842,0.52239,0.61207,0.45372,1.0793,1.124,1.12858,8.33e-06,8.33e-06,8.33e-06
2,189.198,1.10903,1.34005,1.23707,0.67445,0.5513,0.62789,0.46804,1.07202,1.09249,1.12207,1.74966e-05,1.74966e-05,1.74966e-05
3,274.707,1.19331,1.38564,1.23461,0.67997,0.57406,0.6431,0.47983,1.06362,1.06999,1.11733,2.62861e-05,2.62861e-05,2.62861e-05
4,361.029,1.1582,1.29934,1.21662,0.66326,0.60091,0.66385,0.49259,1.05932,1.04777,1.11183,3.46987e-05,3.46987e-05,3.46987e-05
5,446.541,1.1063,1.23152,1.20481,0.64643,0.6373,0.674,0.50381,1.05045,1.02126,1.1072,4.27343e-05,4.27343e-05,4.27343e-05
6,531.778,1.11881,1.2307,1.20298,0.67339,0.6297,0.68764,0.51953,1.04004,0.99507,1.09954,5.03929e-05,5.03929e-05,5.03929e-05
7,618.405,1.08581,1.16419,1.1725,0.7663,0.60735,0.6983,0.52805,1.03487,0.972,1.09708,5.76745e-05,5.76745e-05,5.76745e-05
8,705.461,1.10883,1.16084,1.18306,0.79656,0.60883,0.7132,0.5355,1.02688,0.94715,1.09034,6.45792e-05,6.45792e-05,6.45792e-05
9,791.004,1.08925,1.16247,1.17594,0.82949,0.62962,0.7289,0.55107,1.00889,0.91517,1.08104,7.11068e-05,7.11068e-05,7.11068e-05
10,876.792,1.09756,1.14267,1.17802,0.8427,0.62161,0.74363,0.55951,0.99783,0.89032,1.07417,7.72574e-05,7.72574e-05,7.72574e-05
11,963.753,1.07496,1.10958,1.15689,0.82486,0.64261,0.76514,0.57589,0.99425,0.87057,1.06747,8.30311e-05,8.30311e-05,8.30311e-05
