                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6567,                 4.0348,                 4.2782,                  0.005,                0.26523,                0.00565,                0.00198,                 3.7088,                 4.0353,                 4.1591,             0.00015003,             0.00015003,             0.00015003
                      2,                 3.6399,                 3.9447,                 4.2013,                0.00509,                0.26112,                0.00517,                0.00193,                 3.7063,                  4.039,                 4.1585,             0.00030628,             0.00030628,             0.00030628
                      3,                 3.7964,                 3.8108,                 4.1591,                 0.0047,                0.26004,                0.01093,                 0.0032,                 3.7014,                  4.048,                 4.1568,             0.00045152,             0.00045152,             0.00045152
                      4,                 3.6286,                 3.7939,                 4.1155,                0.00463,                0.28426,                0.00535,                0.00184,                 3.6974,                 4.0578,                 4.1571,             0.00058577,             0.00058577,             0.00058577
                      5,                 3.4105,                 3.5686,                 4.0217,                0.00486,                0.27562,                0.00428,                0.00166,                 3.7186,                 4.1013,                 4.1787,             0.00070901,             0.00070901,             0.00070901
                      6,                 3.3912,                  3.494,                 3.9015,                0.00484,                 0.2715,                0.01014,                0.00321,                  3.752,                 4.1515,                 4.2168,             0.00082125,             0.00082125,             0.00082125
                      7,                 3.3432,                 3.4637,                 3.8006,                0.00513,                0.26934,                0.00686,                0.00224,                 3.8369,                  4.349,                 4.3302,             0.00092248,             0.00092248,             0.00092248
                      8,                 3.3267,                 3.4479,                 3.7175,                0.00388,                0.28662,                0.00485,                0.00159,                 3.9236,                 4.3983,                 4.3099,              0.0010127,              0.0010127,              0.0010127
                      9,                 3.3471,                  3.489,                 3.6848,                0.00569,                 0.2315,                0.00653,                0.00217,                 3.9596,                 4.7218,                 4.4833,               0.001092,               0.001092,               0.001092
                     10,                 3.2688,                 3.4617,                 3.5827,                0.00707,                0.21031,                0.01037,                0.00335,                 4.0545,                 4.7065,                 4.6401,              0.0011602,              0.0011602,              0.0011602
                     11,                 3.2045,                 3.4628,                 3.5355,                0.00673,                 0.2317,                0.00834,                0.00268,                 3.8995,                 4.3575,                 4.5357,              0.0011169,              0.0011169,              0.0011169
                     12,                 3.1733,                 3.4508,                 3.5082,                0.00693,                0.17766,                0.00491,                0.00123,                 3.8007,                 4.2334,                 4.6685,              0.0011169,              0.0011169,              0.0011169
                     13,                 3.1499,                  3.415,                 3.4557,                0.00879,                0.02916,                0.00684,                 0.0015,                 3.6404,                 4.0032,                 4.1009,              0.0010619,              0.0010619,              0.0010619
                     14,                 3.1287,                 3.4805,                 3.4253,                 0.0148,                0.07451,                0.00878,                0.00243,                 3.0319,                 3.6239,                 3.5913,              0.0010069,              0.0010069,              0.0010069
                     15,                 3.0285,                  3.405,                 3.3591,                0.01703,                0.21578,                0.01279,                0.00337,                 2.9842,                 3.5053,                 3.5294,             0.00095186,             0.00095186,             0.00095186
                     16,                 2.9901,                 3.3885,                 3.3606,                0.52999,                0.02916,                0.01378,                0.00358,                 2.9958,                 3.5061,                 3.5346,             0.00089685,             0.00089685,             0.00089685
                     17,                 2.9873,                  3.388,                 3.2779,                0.50541,                0.21166,                0.00888,                0.00259,                 3.0002,                 3.5781,                 3.4566,             0.00084184,             0.00084184,             0.00084184
                     18,                 2.9401,                 3.2631,                 3.2444,                 0.0747,                0.08814,                0.01769,                0.00498,                 2.9106,                 3.5364,                 3.2991,             0.00078682,             0.00078682,             0.00078682
                     19,                 3.0008,                  3.229,                 3.2242,                0.08437,                0.11107,                0.01896,                0.00536,                  2.917,                 3.3838,                 3.2714,             0.00073181,             0.00073181,             0.00073181
                     20,                 2.9348,                 3.2822,                 3.1817,                0.51948,                0.10367,                0.02003,                0.00665,                 2.8663,                 3.4642,                 3.1949,              0.0006768,              0.0006768,              0.0006768
                     21,                 2.8594,                 3.5791,                 3.0986,                0.51632,                0.07667,                0.02121,                0.00639,                 2.8227,                 3.4714,                 3.1807,             0.00062179,             0.00062179,             0.00062179
                     22,                  2.833,                  3.542,                 3.0768,                0.52325,                0.03672,                0.01985,                0.00526,                 2.8075,                 3.4658,                 3.1877,             0.00056678,             0.00056678,             0.00056678
                     23,                 2.8277,                 3.4094,                 3.0736,                0.04446,                0.15319,                0.02156,                0.00562,                 2.8008,                 3.4038,                 3.1967,             0.00051177,             0.00051177,             0.00051177
                     24,                 2.8318,                 3.3971,                 3.0518,                0.02748,                0.27233,                0.02064,                0.00525,                   2.77,                  3.443,                 3.1664,             0.00045676,             0.00045676,             0.00045676
                     25,                 2.8232,                 3.5531,                 3.0599,                0.00673,                0.61958,                0.02456,                0.00639,                 2.7437,                  3.413,                 3.1298,             0.00040175,             0.00040175,             0.00040175
                     26,                 2.8029,                 3.4033,                 3.0745,                 0.0373,                0.23834,                0.03045,                0.00888,                 2.7189,                 3.3361,                 3.0936,             0.00034674,             0.00034674,             0.00034674
                     27,                 2.7933,                 3.4673,                 3.0513,                0.05921,                0.23896,                0.04038,                0.01194,                   2.72,                 3.2633,                  3.049,             0.00029172,             0.00029172,             0.00029172
                     28,                 2.7095,                 3.3426,                 3.0473,                 0.1009,                0.23385,                0.06207,                0.01845,                 2.7102,                 3.2397,                  3.028,             0.00023671,             0.00023671,             0.00023671
                     29,                 2.6643,                 3.3355,                 3.0119,                0.10738,                0.15293,                 0.0674,                0.02022,                 2.6973,                 3.2048,                 3.0247,              0.0001817,              0.0001817,              0.0001817
                     30,                 2.7372,                 3.2925,                 3.0493,                0.32283,                0.09267,                0.07333,                0.02066,                 2.6798,                 3.1637,                 3.0198,             0.00012669,             0.00012669,             0.00012669
